SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/100/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 131 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.248e+000    -1.884e-002  
T     =       4.849s      199.812s  

RSS   =   3.181e-003
SD    =   1.030e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    9.964e-001   -3.644e-003
    2       2.000s    8.195e-001    8.073e-001   -1.224e-002
    3       3.000s    6.543e-001    6.535e-001   -7.817e-004
    4       4.000s    5.207e-001    5.283e-001    7.649e-003
    5       5.000s    4.114e-001    4.265e-001    1.515e-002
    6       6.000s    3.247e-001    3.437e-001    1.905e-002
    7       7.000s    2.629e-001    2.764e-001    1.347e-002
    8       8.000s    2.171e-001    2.216e-001    4.471e-003
    9       9.000s    1.792e-001    1.770e-001   -2.199e-003
   10      10.000s    1.473e-001    1.407e-001   -6.506e-003
   11      11.000s    1.213e-001    1.113e-001   -9.983e-003
   12      12.000s    1.013e-001    8.730e-002   -1.400e-002
   13      13.000s    8.504e-002    6.782e-002   -1.723e-002
   14      14.000s    6.968e-002    5.198e-002   -1.771e-002
   15      15.000s    5.457e-002    3.911e-002   -1.546e-002
   16      16.000s    4.108e-002    2.865e-002   -1.244e-002
   17      17.000s    2.930e-002    2.016e-002   -9.142e-003
   18      18.000s    1.864e-002    1.326e-002   -5.381e-003
   19      19.000s    1.195e-002    7.667e-003   -4.283e-003
   20      20.000s    6.476e-003    3.131e-003   -3.345e-003
   21      21.000s    -4.268e-003    -5.441e-004    3.724e-003
   22      22.000s    -1.399e-002    -3.519e-003    1.047e-002
   23      23.000s    -1.486e-002    -5.924e-003    8.939e-003
   24      24.000s    -1.349e-002    -7.866e-003    5.624e-003
   25      25.000s    -1.742e-002    -9.431e-003    7.987e-003
   26      26.000s    -2.280e-002    -1.069e-002    1.211e-002
   27      27.000s    -2.276e-002    -1.170e-002    1.106e-002
   28      28.000s    -1.982e-002    -1.250e-002    7.315e-003
   29      29.000s    -1.935e-002    -1.314e-002    6.211e-003
   30      30.000s    -1.763e-002    -1.365e-002    3.976e-003

============================================================

