SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/100/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 620 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   4.338e-001    8.689e-001  
T     =       2.401s        5.461s  

RSS   =   2.196e-003
SD    =   8.555e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.010e+000    9.569e-003
    2       2.000s    8.098e-001    7.911e-001   -1.876e-002
    3       3.000s    6.314e-001    6.260e-001   -5.400e-003
    4       4.000s    4.917e-001    4.997e-001    7.999e-003
    5       5.000s    3.904e-001    4.019e-001    1.149e-002
    6       6.000s    3.166e-001    3.253e-001    8.724e-003
    7       7.000s    2.635e-001    2.647e-001    1.130e-003
    8       8.000s    2.206e-001    2.163e-001   -4.286e-003
    9       9.000s    1.796e-001    1.774e-001   -2.133e-003
   10      10.000s    1.464e-001    1.460e-001   -4.573e-004
   11      11.000s    1.221e-001    1.204e-001   -1.694e-003
   12      12.000s    1.018e-001    9.947e-002   -2.366e-003
   13      13.000s    8.790e-002    8.232e-002   -5.588e-003
   14      14.000s    7.796e-002    6.821e-002   -9.748e-003
   15      15.000s    6.603e-002    5.657e-002   -9.459e-003
   16      16.000s    5.370e-002    4.696e-002   -6.740e-003
   17      17.000s    4.459e-002    3.901e-002   -5.580e-003
   18      18.000s    3.798e-002    3.242e-002   -5.559e-003
   19      19.000s    2.947e-002    2.695e-002   -2.521e-003
   20      20.000s    1.808e-002    2.242e-002    4.340e-003
   21      21.000s    9.374e-003    1.865e-002    9.273e-003
   22      22.000s    5.008e-003    1.551e-002    1.051e-002
   23      23.000s    1.639e-003    1.291e-002    1.127e-002
   24      24.000s    -3.202e-004    1.075e-002    1.107e-002
   25      25.000s    -1.175e-003    8.944e-003    1.012e-002
   26      26.000s    -4.019e-003    7.445e-003    1.146e-002
   27      27.000s    -6.966e-003    6.198e-003    1.316e-002
   28      28.000s    -6.536e-003    5.160e-003    1.170e-002
   29      29.000s    -3.931e-003    4.296e-003    8.227e-003
   30      30.000s    7.590e-005    3.577e-003    3.501e-003

============================================================

