SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/110/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 110 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.270e+000    -3.443e-003  
T     =       4.513s       78.742s  

RSS   =   2.405e-003
SD    =   8.954e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.014e+000    1.415e-002
    2       2.000s    8.315e-001    8.120e-001   -1.954e-002
    3       3.000s    6.649e-001    6.500e-001   -1.493e-002
    4       4.000s    5.217e-001    5.202e-001   -1.542e-003
    5       5.000s    4.056e-001    4.162e-001    1.060e-002
    6       6.000s    3.162e-001    3.329e-001    1.668e-002
    7       7.000s    2.524e-001    2.661e-001    1.371e-002
    8       8.000s    2.050e-001    2.126e-001    7.658e-003
    9       9.000s    1.659e-001    1.698e-001    3.927e-003
   10      10.000s    1.358e-001    1.355e-001   -3.203e-004
   11      11.000s    1.131e-001    1.080e-001   -5.126e-003
   12      12.000s    9.429e-002    8.597e-002   -8.317e-003
   13      13.000s    7.991e-002    6.834e-002   -1.158e-002
   14      14.000s    6.734e-002    5.421e-002   -1.313e-002
   15      15.000s    5.387e-002    4.290e-002   -1.097e-002
   16      16.000s    4.256e-002    3.384e-002   -8.713e-003
   17      17.000s    3.302e-002    2.660e-002   -6.421e-003
   18      18.000s    2.378e-002    2.079e-002   -2.987e-003
   19      19.000s    1.788e-002    1.615e-002   -1.733e-003
   20      20.000s    1.395e-002    1.244e-002   -1.516e-003
   21      21.000s    8.752e-003    9.469e-003    7.164e-004
   22      22.000s    4.362e-003    7.096e-003    2.735e-003
   23      23.000s    2.095e-003    5.201e-003    3.106e-003
   24      24.000s    1.291e-003    3.689e-003    2.398e-003
   25      25.000s    1.042e-003    2.484e-003    1.441e-003
   26      26.000s    -1.165e-003    1.523e-003    2.688e-003
   27      27.000s    -4.859e-003    7.601e-004    5.619e-003
   28      28.000s    -7.282e-003    1.543e-004    7.436e-003
   29      29.000s    -9.024e-003    -3.254e-004    8.698e-003
   30      30.000s    -1.052e-002    -7.041e-004    9.819e-003

============================================================

