SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/170/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 115 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.287e+000    -2.447e-002  
T     =       4.601s      140.676s  

RSS   =   1.915e-003
SD    =   7.989e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.011e+000    1.107e-002
    2       2.000s    8.251e-001    8.090e-001   -1.607e-002
    3       3.000s    6.587e-001    6.464e-001   -1.227e-002
    4       4.000s    5.153e-001    5.156e-001    3.473e-004
    5       5.000s    3.993e-001    4.104e-001    1.112e-002
    6       6.000s    3.122e-001    3.258e-001    1.360e-002
    7       7.000s    2.478e-001    2.577e-001    9.905e-003
    8       8.000s    2.001e-001    2.030e-001    2.949e-003
    9       9.000s    1.610e-001    1.590e-001   -2.051e-003
   10      10.000s    1.260e-001    1.236e-001   -2.427e-003
   11      11.000s    9.688e-002    9.518e-002   -1.697e-003
   12      12.000s    7.466e-002    7.232e-002   -2.338e-003
   13      13.000s    5.941e-002    5.397e-002   -5.443e-003
   14      14.000s    4.659e-002    3.922e-002   -7.363e-003
   15      15.000s    3.310e-002    2.739e-002   -5.708e-003
   16      16.000s    2.482e-002    1.790e-002   -6.920e-003
   17      17.000s    2.032e-002    1.029e-002   -1.003e-002
   18      18.000s    1.330e-002    4.197e-003   -9.102e-003
   19      19.000s    6.549e-003    -6.765e-004   -7.226e-003
   20      20.000s    -1.328e-004    -4.569e-003   -4.437e-003
   21      21.000s    -9.541e-003    -7.673e-003    1.868e-003
   22      22.000s    -1.646e-002    -1.014e-002    6.314e-003
   23      23.000s    -1.853e-002    -1.210e-002    6.428e-003
   24      24.000s    -2.161e-002    -1.365e-002    7.964e-003
   25      25.000s    -2.654e-002    -1.487e-002    1.167e-002
   26      26.000s    -2.696e-002    -1.582e-002    1.114e-002
   27      27.000s    -2.346e-002    -1.656e-002    6.905e-003
   28      28.000s    -2.023e-002    -1.713e-002    3.099e-003
   29      29.000s    -1.519e-002    -1.756e-002   -2.368e-003
   30      30.000s    -1.021e-002    -1.788e-002   -7.668e-003

============================================================

