SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/120/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 88 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.239e+000    -1.837e-003  
T     =       5.205s       97.931s  

RSS   =   1.911e-003
SD    =   7.981e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.020e+000    2.034e-002
    2       2.000s    8.606e-001    8.417e-001   -1.896e-002
    3       3.000s    7.122e-001    6.942e-001   -1.796e-002
    4       4.000s    5.789e-001    5.726e-001   -6.283e-003
    5       5.000s    4.687e-001    4.722e-001    3.539e-003
    6       6.000s    3.806e-001    3.894e-001    8.767e-003
    7       7.000s    3.109e-001    3.210e-001    1.010e-002
    8       8.000s    2.542e-001    2.646e-001    1.046e-002
    9       9.000s    2.098e-001    2.181e-001    8.244e-003
   10      10.000s    1.762e-001    1.797e-001    3.452e-003
   11      11.000s    1.478e-001    1.480e-001    2.163e-004
   12      12.000s    1.244e-001    1.219e-001   -2.567e-003
   13      13.000s    1.041e-001    1.003e-001   -3.814e-003
   14      14.000s    8.435e-002    8.250e-002   -1.858e-003
   15      15.000s    7.005e-002    6.781e-002   -2.242e-003
   16      16.000s    6.215e-002    5.570e-002   -6.451e-003
   17      17.000s    5.562e-002    4.571e-002   -9.920e-003
   18      18.000s    4.654e-002    3.746e-002   -9.082e-003
   19      19.000s    3.587e-002    3.066e-002   -5.213e-003
   20      20.000s    2.859e-002    2.505e-002   -3.534e-003
   21      21.000s    2.319e-002    2.043e-002   -2.764e-003
   22      22.000s    1.610e-002    1.661e-002    5.133e-004
   23      23.000s    1.019e-002    1.347e-002    3.280e-003
   24      24.000s    6.744e-003    1.087e-002    4.128e-003
   25      25.000s    4.511e-003    8.735e-003    4.224e-003
   26      26.000s    2.811e-003    6.974e-003    4.163e-003
   27      27.000s    1.510e-003    5.523e-003    4.013e-003
   28      28.000s    1.285e-003    4.328e-003    3.043e-003
   29      29.000s    8.890e-004    3.344e-003    2.455e-003
   30      30.000s    1.848e-003    2.534e-003    6.860e-004

============================================================

