SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/120/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 190 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.122e+000    2.183e-001  
T     =       3.066s       13.042s  

RSS   =   1.341e-003
SD    =   6.686e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.012e+000    1.181e-002
    2       2.000s    7.892e-001    7.716e-001   -1.766e-002
    3       3.000s    6.036e-001    5.951e-001   -8.448e-003
    4       4.000s    4.637e-001    4.650e-001    1.243e-003
    5       5.000s    3.619e-001    3.684e-001    6.524e-003
    6       6.000s    2.862e-001    2.963e-001    1.011e-002
    7       7.000s    2.323e-001    2.420e-001    9.735e-003
    8       8.000s    1.952e-001    2.008e-001    5.518e-003
    9       9.000s    1.681e-001    1.691e-001    9.629e-004
   10      10.000s    1.477e-001    1.444e-001   -3.259e-003
   11      11.000s    1.303e-001    1.250e-001   -5.301e-003
   12      12.000s    1.168e-001    1.094e-001   -7.397e-003
   13      13.000s    1.063e-001    9.673e-002   -9.607e-003
   14      14.000s    9.340e-002    8.629e-002   -7.114e-003
   15      15.000s    8.298e-002    7.753e-002   -5.445e-003
   16      16.000s    7.496e-002    7.009e-002   -4.870e-003
   17      17.000s    6.250e-002    6.367e-002    1.168e-003
   18      18.000s    5.244e-002    5.808e-002    5.635e-003
   19      19.000s    4.695e-002    5.314e-002    6.193e-003
   20      20.000s    4.277e-002    4.875e-002    5.980e-003
   21      21.000s    4.308e-002    4.482e-002    1.734e-003
   22      22.000s    4.138e-002    4.127e-002   -1.117e-004
   23      23.000s    3.486e-002    3.805e-002    3.189e-003
   24      24.000s    3.084e-002    3.511e-002    4.270e-003
   25      25.000s    2.685e-002    3.243e-002    5.582e-003
   26      26.000s    2.513e-002    2.997e-002    4.842e-003
   27      27.000s    3.066e-002    2.771e-002   -2.954e-003
   28      28.000s    3.223e-002    2.563e-002   -6.602e-003
   29      29.000s    2.624e-002    2.371e-002   -2.530e-003
   30      30.000s    2.403e-002    2.195e-002   -2.083e-003

============================================================

