SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/70/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.244e+000    -9.176e-003  
T     =       5.056s    81810912641605.516s  

RSS   =   1.403e-003
SD    =   6.839e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.012e+000    1.186e-002
    2       2.000s    8.448e-001    8.286e-001   -1.621e-002
    3       3.000s    6.905e-001    6.783e-001   -1.227e-002
    4       4.000s    5.560e-001    5.549e-001   -1.071e-003
    5       5.000s    4.454e-001    4.537e-001    8.306e-003
    6       6.000s    3.586e-001    3.706e-001    1.201e-002
    7       7.000s    2.917e-001    3.025e-001    1.071e-002
    8       8.000s    2.391e-001    2.465e-001    7.399e-003
    9       9.000s    1.976e-001    2.006e-001    2.994e-003
   10      10.000s    1.637e-001    1.630e-001   -7.241e-004
   11      11.000s    1.352e-001    1.321e-001   -3.094e-003
   12      12.000s    1.137e-001    1.067e-001   -6.982e-003
   13      13.000s    9.574e-002    8.593e-002   -9.804e-003
   14      14.000s    7.710e-002    6.887e-002   -8.234e-003
   15      15.000s    6.189e-002    5.486e-002   -7.028e-003
   16      16.000s    4.955e-002    4.337e-002   -6.183e-003
   17      17.000s    3.649e-002    3.394e-002   -2.547e-003
   18      18.000s    2.769e-002    2.620e-002   -1.490e-003
   19      19.000s    2.265e-002    1.985e-002   -2.798e-003
   20      20.000s    1.464e-002    1.464e-002    2.255e-006
   21      21.000s    8.204e-003    1.037e-002    2.165e-003
   22      22.000s    7.537e-003    6.861e-003   -6.753e-004
   23      23.000s    4.652e-003    3.983e-003   -6.684e-004
   24      24.000s    -2.571e-003    1.622e-003    4.193e-003
   25      25.000s    -6.438e-003    -3.160e-004    6.122e-003
   26      26.000s    -7.099e-003    -1.906e-003    5.193e-003
   27      27.000s    -8.550e-003    -3.211e-003    5.340e-003
   28      28.000s    -7.827e-003    -4.281e-003    3.546e-003
   29      29.000s    -5.576e-003    -5.159e-003    4.161e-004
   30      30.000s    -5.399e-003    -5.880e-003   -4.814e-004

============================================================

