SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/150/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 726 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.251e+000    -6.622e-002  
T     =       6.385s       83.498s  

RSS   =   7.951e-003
SD    =   1.628e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.004e+000    4.329e-003
    2       2.000s    8.724e-001    8.500e-001   -2.238e-002
    3       3.000s    7.261e-001    7.182e-001   -7.922e-003
    4       4.000s    5.941e-001    6.056e-001    1.151e-002
    5       5.000s    4.924e-001    5.094e-001    1.700e-002
    6       6.000s    4.075e-001    4.272e-001    1.975e-002
    7       7.000s    3.408e-001    3.571e-001    1.634e-002
    8       8.000s    2.910e-001    2.972e-001    6.209e-003
    9       9.000s    2.467e-001    2.461e-001   -5.397e-004
   10      10.000s    2.125e-001    2.025e-001   -9.991e-003
   11      11.000s    1.799e-001    1.654e-001   -1.454e-002
   12      12.000s    1.426e-001    1.337e-001   -8.894e-003
   13      13.000s    1.223e-001    1.067e-001   -1.560e-002
   14      14.000s    1.125e-001    8.366e-002   -2.884e-002
   15      15.000s    8.951e-002    6.408e-002   -2.543e-002
   16      16.000s    5.840e-002    4.743e-002   -1.097e-002
   17      17.000s    3.016e-002    3.328e-002    3.113e-003
   18      18.000s    1.250e-002    2.126e-002    8.763e-003
   19      19.000s    6.743e-003    1.108e-002    4.336e-003
   20      20.000s    -1.309e-003    2.454e-003    3.763e-003
   21      21.000s    -1.839e-002    -4.836e-003    1.356e-002
   22      22.000s    -3.512e-002    -1.099e-002    2.413e-002
   23      23.000s    -4.160e-002    -1.617e-002    2.543e-002
   24      24.000s    -4.141e-002    -2.051e-002    2.090e-002
   25      25.000s    -4.229e-002    -2.415e-002    1.814e-002
   26      26.000s    -3.858e-002    -2.718e-002    1.140e-002
   27      27.000s    -2.954e-002    -2.969e-002   -1.519e-004
   28      28.000s    -2.162e-002    -3.177e-002   -1.015e-002
   29      29.000s    -1.218e-002    -3.346e-002   -2.129e-002
   30      30.000s    -2.676e-003    -3.484e-002   -3.216e-002

============================================================

