SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/130/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.254e+000    8.539e-004  
T     =       4.926s    1129265615062.885s  

RSS   =   2.240e-003
SD    =   8.641e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.024e+000    2.436e-002
    2       2.000s    8.547e-001    8.363e-001   -1.832e-002
    3       3.000s    7.043e-001    6.828e-001   -2.142e-002
    4       4.000s    5.679e-001    5.575e-001   -1.037e-002
    5       5.000s    4.541e-001    4.553e-001    1.134e-003
    6       6.000s    3.651e-001    3.718e-001    6.718e-003
    7       7.000s    2.945e-001    3.036e-001    9.157e-003
    8       8.000s    2.380e-001    2.480e-001    1.002e-002
    9       9.000s    1.942e-001    2.026e-001    8.404e-003
   10      10.000s    1.583e-001    1.655e-001    7.269e-003
   11      11.000s    1.289e-001    1.353e-001    6.345e-003
   12      12.000s    1.069e-001    1.106e-001    3.664e-003
   13      13.000s    9.022e-002    9.043e-002    2.132e-004
   14      14.000s    7.804e-002    7.397e-002   -4.063e-003
   15      15.000s    6.806e-002    6.054e-002   -7.517e-003
   16      16.000s    5.786e-002    4.958e-002   -8.288e-003
   17      17.000s    4.845e-002    4.062e-002   -7.824e-003
   18      18.000s    3.928e-002    3.332e-002   -5.959e-003
   19      19.000s    3.072e-002    2.735e-002   -3.361e-003
   20      20.000s    2.474e-002    2.249e-002   -2.257e-003
   21      21.000s    1.955e-002    1.851e-002   -1.038e-003
   22      22.000s    1.421e-002    1.527e-002    1.062e-003
   23      23.000s    1.008e-002    1.262e-002    2.536e-003
   24      24.000s    6.427e-003    1.046e-002    4.031e-003
   25      25.000s    3.496e-003    8.694e-003    5.198e-003
   26      26.000s    3.073e-003    7.253e-003    4.181e-003
   27      27.000s    4.628e-003    6.078e-003    1.450e-003
   28      28.000s    6.190e-003    5.118e-003   -1.072e-003
   29      29.000s    6.480e-003    4.335e-003   -2.145e-003
   30      30.000s    5.798e-003    3.695e-003   -2.102e-003

============================================================

