SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/140/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 124 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.278e+000    -1.089e-002  
T     =       4.661s       81.715s  

RSS   =   3.262e-003
SD    =   1.043e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.020e+000    2.015e-002
    2       2.000s    8.427e-001    8.212e-001   -2.147e-002
    3       3.000s    6.809e-001    6.607e-001   -2.017e-002
    4       4.000s    5.370e-001    5.312e-001   -5.794e-003
    5       5.000s    4.191e-001    4.268e-001    7.661e-003
    6       6.000s    3.295e-001    3.425e-001    1.302e-002
    7       7.000s    2.597e-001    2.745e-001    1.484e-002
    8       8.000s    2.047e-001    2.197e-001    1.504e-002
    9       9.000s    1.656e-001    1.755e-001    9.890e-003
   10      10.000s    1.367e-001    1.399e-001    3.179e-003
   11      11.000s    1.136e-001    1.111e-001   -2.511e-003
   12      12.000s    9.600e-002    8.793e-002   -8.073e-003
   13      13.000s    8.061e-002    6.925e-002   -1.136e-002
   14      14.000s    6.728e-002    5.420e-002   -1.308e-002
   15      15.000s    5.668e-002    4.207e-002   -1.461e-002
   16      16.000s    4.629e-002    3.231e-002   -1.398e-002
   17      17.000s    3.439e-002    2.445e-002   -9.945e-003
   18      18.000s    2.180e-002    1.813e-002   -3.676e-003
   19      19.000s    1.182e-002    1.305e-002    1.223e-003
   20      20.000s    5.666e-003    8.965e-003    3.299e-003
   21      21.000s    9.120e-004    5.691e-003    4.779e-003
   22      22.000s    -3.035e-003    3.068e-003    6.104e-003
   23      23.000s    -5.964e-003    9.704e-004    6.934e-003
   24      24.000s    -8.195e-003    -7.042e-004    7.490e-003
   25      25.000s    -9.136e-003    -2.037e-003    7.099e-003
   26      26.000s    -8.907e-003    -3.095e-003    5.812e-003
   27      27.000s    -7.407e-003    -3.931e-003    3.476e-003
   28      28.000s    -4.817e-003    -4.588e-003    2.285e-004
   29      29.000s    -3.462e-003    -5.101e-003   -1.639e-003
   30      30.000s    -3.600e-003    -5.498e-003   -1.898e-003

============================================================

