SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/90/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 111 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.295e+000    -3.482e-002  
T     =       4.961s      244.620s  

RSS   =   3.471e-003
SD    =   1.076e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.024e+000    2.407e-002
    2       2.000s    8.567e-001    8.309e-001   -2.581e-002
    3       3.000s    6.954e-001    6.731e-001   -2.232e-002
    4       4.000s    5.490e-001    5.441e-001   -4.930e-003
    5       5.000s    4.315e-001    4.386e-001    7.170e-003
    6       6.000s    3.385e-001    3.525e-001    1.400e-002
    7       7.000s    2.678e-001    2.821e-001    1.426e-002
    8       8.000s    2.127e-001    2.245e-001    1.185e-002
    9       9.000s    1.668e-001    1.775e-001    1.073e-002
   10      10.000s    1.340e-001    1.391e-001    5.141e-003
   11      11.000s    1.090e-001    1.078e-001   -1.260e-003
   12      12.000s    8.467e-002    8.215e-002   -2.526e-003
   13      13.000s    6.660e-002    6.123e-002   -5.368e-003
   14      14.000s    5.517e-002    4.416e-002   -1.101e-002
   15      15.000s    4.334e-002    3.023e-002   -1.311e-002
   16      16.000s    3.111e-002    1.887e-002   -1.225e-002
   17      17.000s    2.072e-002    9.600e-003   -1.112e-002
   18      18.000s    1.076e-002    2.050e-003   -8.710e-003
   19      19.000s    1.684e-003    -4.099e-003   -5.783e-003
   20      20.000s    -4.739e-003    -9.101e-003   -4.362e-003
   21      21.000s    -1.142e-002    -1.317e-002   -1.751e-003
   22      22.000s    -2.002e-002    -1.647e-002    3.552e-003
   23      23.000s    -2.615e-002    -1.914e-002    7.011e-003
   24      24.000s    -2.788e-002    -2.131e-002    6.575e-003
   25      25.000s    -2.747e-002    -2.305e-002    4.416e-003
   26      26.000s    -2.816e-002    -2.445e-002    3.709e-003
   27      27.000s    -3.162e-002    -2.558e-002    6.038e-003
   28      28.000s    -3.281e-002    -2.647e-002    6.331e-003
   29      29.000s    -3.021e-002    -2.718e-002    3.026e-003
   30      30.000s    -3.108e-002    -2.774e-002    3.338e-003

============================================================

