SIMFIT RESULTS
==============

Dataset : D:\IVDrData\data/COVID_Plasma_IVDR04_PN_100620/160/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 120 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.229e+000    -5.165e-002  
T     =       6.374s       42.208s  

RSS   =   1.611e-003
SD    =   7.328e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.000e+000    4.055e-004
    2       2.000s    8.529e-001    8.490e-001   -3.890e-003
    3       3.000s    7.234e-001    7.197e-001   -3.654e-003
    4       4.000s    6.091e-001    6.094e-001    2.340e-004
    5       5.000s    5.112e-001    5.152e-001    4.018e-003
    6       6.000s    4.276e-001    4.348e-001    7.146e-003
    7       7.000s    3.572e-001    3.662e-001    8.977e-003
    8       8.000s    3.000e-001    3.077e-001    7.701e-003
    9       9.000s    2.540e-001    2.578e-001    3.844e-003
   10      10.000s    2.196e-001    2.153e-001   -4.270e-003
   11      11.000s    1.916e-001    1.791e-001   -1.249e-002
   12      12.000s    1.599e-001    1.482e-001   -1.162e-002
   13      13.000s    1.299e-001    1.220e-001   -7.929e-003
   14      14.000s    1.096e-001    9.965e-002   -9.912e-003
   15      15.000s    8.966e-002    8.066e-002   -8.996e-003
   16      16.000s    6.763e-002    6.454e-002   -3.084e-003
   17      17.000s    5.054e-002    5.087e-002    3.284e-004
   18      18.000s    3.477e-002    3.928e-002    4.508e-003
   19      19.000s    1.850e-002    2.947e-002    1.097e-002
   20      20.000s    6.127e-003    2.118e-002    1.505e-002
   21      21.000s    -5.359e-004    1.419e-002    1.472e-002
   22      22.000s    1.687e-003    8.303e-003    6.617e-003
   23      23.000s    4.228e-003    3.363e-003   -8.647e-004
   24      24.000s    -2.610e-003    -7.728e-004    1.837e-003
   25      25.000s    -5.681e-003    -4.223e-003    1.458e-003
   26      26.000s    -2.893e-003    -7.088e-003   -4.195e-003
   27      27.000s    -7.566e-003    -9.456e-003   -1.890e-003
   28      28.000s    -1.169e-002    -1.140e-002    2.849e-004
   29      29.000s    -7.940e-003    -1.299e-002   -5.046e-003
   30      30.000s    -3.355e-003    -1.426e-002   -1.091e-002

============================================================

